unique.id,x.distance,run.dist,direction,datetime,duration,detection,detection.1,datetime.1,detection.2,datetime.2,detection.3,datetime.3,detection.4,datetime.4
RM-14-9,12,20,,25-03-2022 10:59:00,10.46,1,10:59:07,25-03-2022 10:59:07,,,,,,
RM-14-9,12,20,2,25-03-2022 11:00:00,9.91,1,11:00:06,25-03-2022 11:00:06,11:00:09,25-03-2022 11:00:09,,,,
RM-14-9,12,20,,25-03-2022 11:01:00,11.02,1,11:01:07,25-03-2022 11:01:07,11:01:10,25-03-2022 11:01:10,,,,
RM-14-9,12,20,2,25-03-2022 11:02:00,9.86,1,11:02:06,25-03-2022 11:02:06,11:02:09,25-03-2022 11:02:09,,,,
RM-14-9,15,20,,25-03-2022 11:03:00,11.65,1,11:03:08,25-03-2022 11:03:08,11:03:10,25-03-2022 11:03:10,,,,
RM-14-9,15,20,2,25-03-2022 11:04:00,10.71,1,11:04:05,25-03-2022 11:04:05,11:04:09,25-03-2022 11:04:09,,,,
RM-14-9,15,20,,25-03-2022 11:05:00,10.8,1,11:05:07,25-03-2022 11:05:07,11:05:10,25-03-2022 11:05:10,,,,
RM-14-9,15,20,2,25-03-2022 11:06:00,9.8,1,11:06:05,25-03-2022 11:06:05,11:06:08,25-03-2022 11:06:08,,,,
RM-14-9,15,20,,25-03-2022 11:07:00,11.01,1,11:07:09,25-03-2022 11:07:09,,,,,,
RM-14-9,15,20,2,25-03-2022 11:08:00,10.26,1,11:08:05,25-03-2022 11:08:05,11:08:08,25-03-2022 11:08:08,,,,
RM-14-9,20,20,,25-03-2022 11:09:00,11.23,1,11:09:09,25-03-2022 11:09:09,,,,,,
RM-14-9,20,20,2,25-03-2022 11:10:00,11.22,1,11:10:06,25-03-2022 11:10:06,,,,,,
RM-14-9,20,20,,25-03-2022 11:11:00,10.67,1,11:11:08,25-03-2022 11:11:08,,,,,,
RM-14-9,20,20,2,25-03-2022 11:12:00,10.51,1,11:12:07,25-03-2022 11:12:07,,,,,,
RM-14-9,20,20,,25-03-2022 11:13:00,10.54,1,11:13:09,25-03-2022 11:13:09,,,,,,
RM-14-9,20,20,2,25-03-2022 11:14:00,10.28,1,11:14:06,25-03-2022 11:14:06,,,,,,
RM-14-7,3,20,,25-03-2022 12:56:00,9.22,1,12:56:07,25-03-2022 12:56:07,,,,,,
RM-14-7,3,20,2,25-03-2022 12:57:00,9.79,1,12:57:07,25-03-2022 12:57:07,,,,,,
RM-14-7,3,20,,25-03-2022 12:58:00,10.36,1,12:58:05,25-03-2022 12:58:05,,,,,,
